datetime,load_mw,month,year
2024-01-14T11:00:00.000-0500,1716.247,1,2024
2024-01-14T12:00:00.000-0500,1759.18,1,2024
2024-01-14T13:00:00.000-0500,1866.62,1,2024
2024-01-14T14:00:00.000-0500,1921.139,1,2024
2024-01-14T15:00:00.000-0500,1961.117,1,2024
2024-01-14T16:00:00.000-0500,2016.604,1,2024
2024-01-14T17:00:00.000-0500,2134.247,1,2024
2024-01-14T18:00:00.000-0500,2236.008,1,2024
2024-01-14T19:00:00.000-0500,2222.802,1,2024
2024-01-14T20:00:00.000-0500,2164.029,1,2024
2024-01-14T21:00:00.000-0500,2101.815,1,2024
2024-01-14T22:00:00.000-0500,2022.445,1,2024
2024-01-14T23:00:00.000-0500,1912.745,1,2024
2024-01-15T00:00:00.000-0500,1824.116,1,2024
2024-01-15T01:00:00.000-0500,1751.348,1,2024
2024-01-15T02:00:00.000-0500,1716.696,1,2024
2024-01-15T03:00:00.000-0500,1700.783,1,2024
2024-01-15T04:00:00.000-0500,1703.757,1,2024
2024-01-15T05:00:00.000-0500,1748.458,1,2024
2024-01-15T06:00:00.000-0500,1867.646,1,2024
2024-01-15T07:00:00.000-0500,2006.556,1,2024
2024-01-15T08:00:00.000-0500,2126.23,1,2024
2024-01-15T09:00:00.000-0500,2155.07,1,2024
2024-01-15T10:00:00.000-0500,2096.294,1,2024
2024-01-15T11:00:00.000-0500,2021.073,1,2024
2024-01-15T12:00:00.000-0500,1950.462,1,2024
2024-01-15T13:00:00.000-0500,1911.593,1,2024
2024-01-15T14:00:00.000-0500,1948.283,1,2024
2024-01-15T15:00:00.000-0500,2029.539,1,2024
2024-01-15T16:00:00.000-0500,2196.654,1,2024
2024-01-15T17:00:00.000-0500,2335.735,1,2024
2024-01-15T18:00:00.000-0500,2427.497,1,2024
2024-01-15T19:00:00.000-0500,2399.782,1,2024
2024-01-15T20:00:00.000-0500,2341.576,1,2024
2024-01-15T21:00:00.000-0500,2262.11,1,2024
2024-01-15T22:00:00.000-0500,2147.643,1,2024
2024-01-15T23:00:00.000-0500,1996.489,1,2024
2024-01-16T00:00:00.000-0500,1865.078,1,2024
2024-01-16T01:00:00.000-0500,1784.214,1,2024
2024-01-16T02:00:00.000-0500,1730.317,1,2024
2024-01-16T03:00:00.000-0500,1710.746,1,2024
2024-01-16T04:00:00.000-0500,1715.696,1,2024
2024-01-16T05:00:00.000-0500,1762.167,1,2024
2024-01-16T06:00:00.000-0500,1875.304,1,2024
2024-01-16T07:00:00.000-0500,2060.25,1,2024
2024-01-16T08:00:00.000-0500,2194.518,1,2024
2024-01-16T09:00:00.000-0500,2276.883,1,2024
2024-01-16T10:00:00.000-0500,2325.473,1,2024
2024-01-16T11:00:00.000-0500,2370.473,1,2024
2024-01-16T12:00:00.000-0500,2401.88,1,2024
2024-01-16T13:00:00.000-0500,2413.813,1,2024
2024-01-16T14:00:00.000-0500,2400.372,1,2024
2024-01-16T15:00:00.000-0500,2370.404,1,2024
2024-01-16T16:00:00.000-0500,2355.146,1,2024
2024-01-16T17:00:00.000-0500,2419.296,1,2024
2024-01-16T18:00:00.000-0500,2483.889,1,2024
2024-01-16T19:00:00.000-0500,2447.895,1,2024
2024-01-16T20:00:00.000-0500,2378.055,1,2024
2024-01-16T21:00:00.000-0500,2289.198,1,2024
2024-01-16T22:00:00.000-0500,2169.7,1,2024
2024-01-16T23:00:00.000-0500,2035.432,1,2024
2024-01-17T00:00:00.000-0500,1916.47,1,2024
2024-01-17T01:00:00.000-0500,1855.872,1,2024
2024-01-17T02:00:00.000-0500,1808.16,1,2024
2024-01-17T03:00:00.000-0500,1795.554,1,2024
2024-01-17T04:00:00.000-0500,1803.364,1,2024
2024-01-17T05:00:00.000-0500,1846.283,1,2024
2024-01-17T06:00:00.000-0500,1993.862,1,2024
2024-01-17T07:00:00.000-0500,2195.439,1,2024
2024-01-17T08:00:00.000-0500,2333.297,1,2024
2024-01-17T09:00:00.000-0500,2366.337,1,2024
2024-01-17T10:00:00.000-0500,2357.612,1,2024
2024-01-17T11:00:00.000-0500,2346.705,1,2024
2024-01-17T12:00:00.000-0500,2318.742,1,2024
2024-01-17T13:00:00.000-0500,2281.767,1,2024
2024-01-17T14:00:00.000-0500,2263.339,1,2024
2024-01-17T15:00:00.000-0500,2257.088,1,2024
2024-01-17T16:00:00.000-0500,2293.455,1,2024
2024-01-17T17:00:00.000-0500,2391.121,1,2024
2024-01-17T18:00:00.000-0500,2507.106,1,2024
2024-01-17T19:00:00.000-0500,2504.465,1,2024
2024-01-17T20:00:00.000-0500,2463.396,1,2024
2024-01-17T21:00:00.000-0500,2394.627,1,2024
2024-01-17T22:00:00.000-0500,2289.345,1,2024
2024-01-17T23:00:00.000-0500,2148.415,1,2024
2024-01-18T00:00:00.000-0500,2026.719,1,2024
2024-01-18T01:00:00.000-0500,1961.057,1,2024
2024-01-18T02:00:00.000-0500,1920.753,1,2024
2024-01-18T03:00:00.000-0500,1903.77,1,2024
2024-01-18T04:00:00.000-0500,1899.365,1,2024
2024-01-18T05:00:00.000-0500,1952.963,1,2024
2024-01-18T06:00:00.000-0500,2078.947,1,2024
2024-01-18T07:00:00.000-0500,2291.317,1,2024
2024-01-18T08:00:00.000-0500,2410.725,1,2024
2024-01-18T09:00:00.000-0500,2431.269,1,2024
2024-01-18T10:00:00.000-0500,2433.815,1,2024
2024-01-18T11:00:00.000-0500,2435.435,1,2024
2024-01-18T12:00:00.000-0500,2423.966,1,2024
2024-01-18T13:00:00.000-0500,2394.187,1,2024
2024-01-18T14:00:00.000-0500,2367.296,1,2024
2024-01-18T15:00:00.000-0500,2350.426,1,2024
2024-01-18T16:00:00.000-0500,2349.752,1,2024
